timestamp,count,sex
2025-01-07 10:11:20,In,F
2025-01-07 10:11:22,In,F
2025-01-07 10:11:25,In,M
2025-01-07 10:11:26,In,F
2025-01-07 10:11:39,out_not_buy,M
2025-01-07 10:11:40,out_not_buy,M
2025-01-07 10:11:44,out_not_buy,F
2025-01-07 10:11:45,out_not_buy,F
2025-01-07 10:11:54,In,M
2025-01-07 10:11:55,In,F
2025-01-07 10:12:24,In,F
2025-01-07 10:12:36,out_not_buy,M
2025-01-07 10:12:37,out_not_buy,F
2025-01-07 10:12:39,out_not_buy,F
2025-01-07 10:12:50,out_not_buy,F
2025-01-07 10:13:06,In,F
2025-01-07 10:13:07,In,F
2025-01-07 10:13:23,In,M
2025-01-07 10:13:24,In,M
2025-01-07 10:13:25,In,M
2025-01-07 10:13:26,In,F
2025-01-07 10:13:29,out_not_buy,F
2025-01-07 10:13:29,out_not_buy,F
2025-01-07 10:13:35,In,M
2025-01-07 10:13:54,out_not_buy,M
2025-01-07 10:13:55,out_not_buy,F
2025-01-07 10:14:12,out_not_buy,M
2025-01-07 10:14:16,out_not_buy,F
2025-01-07 10:14:28,In,F
2025-01-07 10:14:38,In,F
2025-01-07 10:14:43,out_not_buy,M
2025-01-07 10:14:43,out_not_buy,F
2025-01-07 10:14:50,In,M
2025-01-07 10:14:51,In,F
2025-01-07 10:14:54,In,F
2025-01-07 10:14:55,In,F
2025-01-07 10:14:56,In,F
2025-01-07 10:14:58,In,F
2025-01-07 10:15:10,In,F
2025-01-07 10:15:17,out_not_buy,M
2025-01-07 10:15:18,out_not_buy,F
2025-01-07 10:15:21,out_not_buy,M
2025-01-07 10:15:21,out_not_buy,F
2025-01-07 10:15:22,In,F
2025-01-07 10:15:34,In,F
2025-01-07 10:15:36,In,F
2025-01-07 10:15:36,In,F
2025-01-07 10:15:50,out_not_buy,F
2025-01-07 10:15:58,In,M
2025-01-07 10:16:04,In,M
2025-01-07 10:16:45,out_not_buy,M
2025-01-07 10:16:46,In,F
2025-01-07 10:16:48,In,F
2025-01-07 10:16:49,In,M
2025-01-07 10:16:51,In,M
2025-01-07 10:16:51,In,F
2025-01-07 10:16:55,In,M
2025-01-07 10:16:56,In,F
2025-01-07 10:17:03,In,F
2025-01-07 10:17:28,out_not_buy,M
2025-01-07 10:17:31,In,F
2025-01-07 10:17:34,out_not_buy,M
2025-01-07 10:17:38,In,M
2025-01-07 10:17:38,In,F
2025-01-07 10:17:40,out_not_buy,F
2025-01-07 10:17:42,out_not_buy,M
2025-01-07 10:17:43,In,M
2025-01-07 10:17:43,In,F
2025-01-07 10:17:57,out_bought,F
2025-01-07 10:17:58,out_bought,F
2025-01-07 10:18:08,out_bought,F
2025-01-07 10:18:10,out_not_buy,F
2025-01-07 10:18:11,In,M
2025-01-07 10:18:13,In,F
2025-01-07 10:18:14,In,F
2025-01-07 10:18:15,In,F
2025-01-07 10:18:17,In,F
2025-01-07 10:18:20,In,M
2025-01-07 10:18:26,out_not_buy,M
2025-01-07 10:18:27,out_not_buy,F
2025-01-07 10:18:38,out_bought,M
2025-01-07 10:18:41,In,F
2025-01-07 10:18:41,In,M
2025-01-07 10:18:44,In,F
2025-01-07 10:18:45,In,F
2025-01-07 10:18:46,In,M
2025-01-07 10:19:04,In,M
2025-01-07 10:19:07,out_bought,M
2025-01-07 10:19:13,out_not_buy,F
2025-01-07 10:21:25,In,F
2025-01-07 10:21:26,In,F
2025-01-07 10:21:28,out_not_buy,F
2025-01-07 10:21:28,out_not_buy,F
2025-01-07 10:21:36,out_not_buy,M
2025-01-07 10:21:36,out_not_buy,F
2025-01-07 10:21:37,out_not_buy,F
2025-01-07 10:21:38,out_not_buy,M
2025-01-07 10:21:57,In,M
2025-01-07 10:21:58,In,M
2025-01-07 10:21:58,out_not_buy,M
2025-01-07 10:22:17,out_not_buy,F
2025-01-07 10:22:29,In,M
2025-01-07 10:22:29,In,F
2025-01-07 10:22:34,In,M
2025-01-07 10:22:34,In,M
2025-01-07 10:22:47,In,F
2025-01-07 10:22:47,In,F
2025-01-07 10:22:51,In,F
2025-01-07 10:22:52,In,F
2025-01-07 10:22:54,out_not_buy,F
2025-01-07 10:23:01,In,M
2025-01-07 10:23:12,out_bought,F
2025-01-07 10:23:42,out_not_buy,M
2025-01-07 10:23:54,out_not_buy,F
2025-01-07 10:23:54,In,M
2025-01-07 10:23:55,In,M
2025-01-07 10:23:57,In,F
2025-01-07 10:23:59,out_not_buy,F
2025-01-07 10:24:06,out_not_buy,F
2025-01-07 10:24:14,In,M
2025-01-07 10:24:38,out_not_buy,F
2025-01-07 10:24:39,out_not_buy,M
2025-01-07 10:24:41,In,M
2025-01-07 10:24:48,out_not_buy,F
2025-01-07 10:24:57,In,F
2025-01-07 10:24:59,out_not_buy,M
2025-01-07 10:25:06,In,F
2025-01-07 10:25:21,out_not_buy,M
2025-01-07 10:25:22,out_not_buy,M
2025-01-07 10:25:22,out_not_buy,M
2025-01-07 10:25:46,out_not_buy,M
2025-01-07 10:25:47,out_not_buy,F
2025-01-07 10:25:55,In,M
2025-01-07 10:26:03,In,F
2025-01-07 10:26:37,out_not_buy,F
2025-01-07 10:26:39,out_not_buy,M
2025-01-07 10:26:39,out_not_buy,F
2025-01-07 10:26:49,out_not_buy,F
2025-01-07 10:27:00,In,F
2025-01-07 10:27:29,out_bought,M
2025-01-07 10:27:42,out_not_buy,M
2025-01-07 10:27:42,out_not_buy,F
2025-01-07 10:27:47,In,M
2025-01-07 10:27:51,out_not_buy,F
2025-01-07 10:28:03,out_bought,F
2025-01-07 10:28:04,out_not_buy,M
2025-01-07 10:28:05,out_not_buy,M
2025-01-07 10:28:05,out_not_buy,M
2025-01-07 10:28:08,out_not_buy,F
2025-01-07 10:28:21,In,F
2025-01-07 10:28:21,In,F
2025-01-07 10:28:35,In,M
2025-01-07 10:29:41,In,F
2025-01-07 10:29:42,In,M
2025-01-07 10:29:43,In,F
2025-01-07 10:29:45,out_not_buy,F
2025-01-07 10:30:13,In,M
2025-01-07 10:30:28,out_bought,F
2025-01-07 10:30:31,out_not_buy,F
2025-01-07 10:30:41,out_not_buy,F
2025-01-07 10:31:30,out_not_buy,F
2025-01-07 10:31:32,In,F
2025-01-07 10:31:32,In,M
2025-01-07 10:31:54,out_not_buy,M
2025-01-07 10:31:55,In,M
2025-01-07 10:31:55,In,F
2025-01-07 10:31:56,out_not_buy,F
2025-01-07 10:31:58,out_not_buy,F
2025-01-07 10:31:59,out_not_buy,M
2025-01-07 10:32:20,In,M
2025-01-07 10:32:24,In,M
2025-01-07 10:32:25,In,F
2025-01-07 10:32:29,out_bought,F
2025-01-07 10:32:34,out_not_buy,M
2025-01-07 10:32:36,In,F
2025-01-07 10:32:36,In,F
2025-01-07 10:32:38,In,M
2025-01-07 10:32:57,In,F
2025-01-07 10:32:58,In,M
2025-01-07 10:32:59,In,F
2025-01-07 10:33:34,In,F
2025-01-07 10:33:35,In,M
2025-01-07 10:33:36,In,M
2025-01-07 10:33:39,In,F
2025-01-07 10:33:39,In,M
